time_iso8601,forks_cumulative
2019-05-16 00:00:00+00:00,101
2019-05-30 00:00:00+00:00,102
2019-06-11 00:00:00+00:00,103
2019-07-27 00:00:00+00:00,104
2019-08-09 00:00:00+00:00,105
2019-09-26 00:00:00+00:00,106
2019-10-10 00:00:00+00:00,107
2019-10-17 00:00:00+00:00,108
2019-11-13 00:00:00+00:00,109
2019-11-14 00:00:00+00:00,110
2019-11-20 00:00:00+00:00,111
2019-12-04 00:00:00+00:00,112
2019-12-11 00:00:00+00:00,113
2020-01-03 00:00:00+00:00,114
2020-01-20 00:00:00+00:00,115
2020-02-21 00:00:00+00:00,116
2020-02-25 00:00:00+00:00,117
2020-03-03 00:00:00+00:00,118
2020-03-04 00:00:00+00:00,120
2020-03-11 00:00:00+00:00,122
2020-03-30 00:00:00+00:00,123
2020-04-02 00:00:00+00:00,124
2020-04-28 00:00:00+00:00,125
2020-04-30 00:00:00+00:00,127
2020-05-05 00:00:00+00:00,128
2020-05-10 00:00:00+00:00,129
2020-05-29 00:00:00+00:00,130
2020-06-03 00:00:00+00:00,131
2020-06-11 00:00:00+00:00,132
2020-06-15 00:00:00+00:00,133
2020-06-27 00:00:00+00:00,134
2020-07-02 00:00:00+00:00,135
2020-07-16 00:00:00+00:00,136
2020-07-20 00:00:00+00:00,137
2020-08-12 00:00:00+00:00,138
2020-08-25 00:00:00+00:00,139
2020-09-01 00:00:00+00:00,140
2020-10-06 00:00:00+00:00,141
2020-10-12 00:00:00+00:00,142
2020-10-18 00:00:00+00:00,143
2020-10-25 00:00:00+00:00,144
2020-10-28 00:00:00+00:00,145
2020-11-25 00:00:00+00:00,146
2020-12-14 00:00:00+00:00,148
2021-01-06 00:00:00+00:00,149
2021-01-14 00:00:00+00:00,150
2021-01-15 00:00:00+00:00,151
2021-01-18 00:00:00+00:00,152
2021-01-19 00:00:00+00:00,153
2021-01-27 00:00:00+00:00,154
2021-02-18 00:00:00+00:00,155
2021-03-30 00:00:00+00:00,156
2021-04-04 00:00:00+00:00,157
2021-04-05 00:00:00+00:00,158
2021-04-21 00:00:00+00:00,159
2021-04-24 00:00:00+00:00,160
2021-04-25 00:00:00+00:00,161
2021-04-29 00:00:00+00:00,162
2021-05-12 00:00:00+00:00,163
2021-05-18 00:00:00+00:00,164
2021-05-27 00:00:00+00:00,165
2021-06-09 00:00:00+00:00,167
2021-06-21 00:00:00+00:00,168
2021-06-26 00:00:00+00:00,169
2021-07-07 00:00:00+00:00,170
2021-08-10 00:00:00+00:00,171
2021-08-20 00:00:00+00:00,172
2021-08-30 00:00:00+00:00,173
2021-09-03 00:00:00+00:00,174
2021-09-05 00:00:00+00:00,175
2021-09-25 00:00:00+00:00,176
2021-10-05 00:00:00+00:00,177
2021-10-13 00:00:00+00:00,178
2021-11-08 00:00:00+00:00,179
2021-11-10 00:00:00+00:00,180
2021-11-11 00:00:00+00:00,181
2021-11-22 00:00:00+00:00,182
2021-11-25 00:00:00+00:00,183
2021-12-06 00:00:00+00:00,184
2021-12-29 00:00:00+00:00,185
2022-01-17 00:00:00+00:00,186
2022-01-31 00:00:00+00:00,187
2022-02-15 00:00:00+00:00,188
2022-02-23 00:00:00+00:00,189
2022-02-24 00:00:00+00:00,190
2022-02-25 00:00:00+00:00,191
2022-03-10 00:00:00+00:00,192
2022-03-11 00:00:00+00:00,193
2022-03-14 00:00:00+00:00,194
2022-03-24 00:00:00+00:00,195
2022-04-14 00:00:00+00:00,196
2022-04-20 00:00:00+00:00,197
2022-04-30 00:00:00+00:00,198
2022-05-09 00:00:00+00:00,199
2022-05-10 00:00:00+00:00,200
2022-05-23 00:00:00+00:00,201
2022-05-28 00:00:00+00:00,202
2022-06-08 00:00:00+00:00,203
2022-06-13 00:00:00+00:00,204
2022-07-03 00:00:00+00:00,205
2022-07-04 00:00:00+00:00,206
2022-07-15 00:00:00+00:00,207
2022-07-22 00:00:00+00:00,208
2022-08-02 00:00:00+00:00,209
2022-08-07 00:00:00+00:00,210
2022-08-15 00:00:00+00:00,211
2022-08-23 00:00:00+00:00,212
2022-09-13 00:00:00+00:00,213
2022-09-21 00:00:00+00:00,214
2022-10-16 00:00:00+00:00,215
2022-10-18 00:00:00+00:00,216
2022-10-21 00:00:00+00:00,217
2022-11-02 00:00:00+00:00,218
2022-11-08 00:00:00+00:00,219
2022-11-10 00:00:00+00:00,220
2022-11-25 00:00:00+00:00,221
2022-11-28 00:00:00+00:00,222
2023-01-23 00:00:00+00:00,223
2023-02-05 00:00:00+00:00,224
2023-02-25 00:00:00+00:00,225
2023-02-27 00:00:00+00:00,226
2023-03-01 00:00:00+00:00,227
2023-03-06 00:00:00+00:00,228
2023-03-14 00:00:00+00:00,229
2023-03-25 00:00:00+00:00,230
2023-03-27 00:00:00+00:00,231
2023-04-11 00:00:00+00:00,232
2023-04-19 00:00:00+00:00,233
2023-05-10 00:00:00+00:00,234
2023-05-11 00:00:00+00:00,235
2023-05-18 00:00:00+00:00,237
2023-05-25 00:00:00+00:00,238
2023-06-21 00:00:00+00:00,239
2023-06-27 00:00:00+00:00,241
2023-07-01 00:00:00+00:00,242
2023-07-04 00:00:00+00:00,243
2023-10-20 00:00:00+00:00,244
2023-10-30 00:00:00+00:00,245
2023-11-07 00:00:00+00:00,246
2023-11-08 00:00:00+00:00,247
2023-11-14 00:00:00+00:00,248
2023-11-19 00:00:00+00:00,249
2023-12-06 00:00:00+00:00,250
2023-12-24 00:00:00+00:00,251
2024-01-23 00:00:00+00:00,252
2024-02-01 00:00:00+00:00,253
2024-03-04 00:00:00+00:00,255
2024-03-20 00:00:00+00:00,256
2024-04-12 00:00:00+00:00,257
2024-05-05 00:00:00+00:00,258
2024-05-10 00:00:00+00:00,259
2024-05-15 00:00:00+00:00,261
2024-05-18 00:00:00+00:00,262
2024-08-19 00:00:00+00:00,263
2024-10-16 00:00:00+00:00,265
2024-10-18 00:00:00+00:00,266
2024-10-26 00:00:00+00:00,267
2024-11-05 00:00:00+00:00,268
2024-12-25 00:00:00+00:00,269
2025-01-08 00:00:00+00:00,271
2025-01-22 00:00:00+00:00,272
2025-01-24 00:00:00+00:00,273
2025-01-31 00:00:00+00:00,275
2025-02-05 00:00:00+00:00,276
2025-03-06 00:00:00+00:00,277
2025-03-15 00:00:00+00:00,278
2025-04-27 00:00:00+00:00,279
2025-04-28 00:00:00+00:00,280
2025-05-09 00:00:00+00:00,281
2025-05-15 00:00:00+00:00,282
2025-06-04 00:00:00+00:00,283
2025-07-09 00:00:00+00:00,284
2025-07-21 00:00:00+00:00,285
2025-08-05 00:00:00+00:00,286
2025-08-08 00:00:00+00:00,288
2025-08-18 00:00:00+00:00,289
2025-08-25 00:00:00+00:00,290
2025-09-19 00:00:00+00:00,291
2025-09-25 00:00:00+00:00,292
2025-10-06 00:00:00+00:00,293
